name	album
Chasing a Ghost	Talking Through Tin Cans
Child Meat	Cruel Emulator
Raspberry Beret	That Skinny Motherfucker With the High Voice?
“From House to House”	Sing Praises to Jehovah
Jehovah’s Attributes	Sing Praises to Jehovah
Our Paradise: Present and Future	Sing Praises to Jehovah
Mini-Skirt Minnie	Fix Up the Drinks and Bring on the Heartache
The Dance	Music to Cruise To
Nobody	Breaking Point
Knights of Cydonia	Smack!,Black Holes and Revelations
Wrong Way	Human Clay,End of Days,Alternative Collection
Intro	LP
Over My Shoulder	Tomorrow the Green Grass
The Geometry of Shadows, Part 2	Babylon 5
Train Tour to Rainbow City	Original Ska: All the Hits
Scavenger Type	Punk in Drublic
Television Man	Little Creatures
Tribute to Johnny	Zero
Take the Long Way Home	The Autobiography of Supertramp
From Now On	The Autobiography of Supertramp
No Spill Blood	Anthology
La mort n'est qu'une étape (le testament)	Le Testament
Metamorphose (DJ X remix)	Funky Breakz 2 (DJ X)
Path Finder	Trancespotting II
Send It to Me	Emotional Rescue
Come Together	Greatest Hits,Armageddon,Basement Days,Hits in the Attic (disc 2),Sgt. Pepper's Lonely Hearts Club Band,Pandora's Box,Greatest Hits 1973-1988,The Best of Aerosmith: The Millennium Collection,Greatest Ballads
Raincry	Northern Exposure
Train	Chemical Warfare (Mix Mix Bang Bang)
Artificial Red	Above
Pretty	Everybody Else Is Doing It, So Why Can't We?
Private Idaho	Time Capsule: Songs for a Future Generation
